country,date,doing_business,gdppc
United Arab Emirates,1983-01-01,,
United Arab Emirates,1982-01-01,,
United Arab Emirates,1981-01-01,,
United Arab Emirates,1980-01-01,,
United Arab Emirates,1979-01-01,,
United Arab Emirates,1978-01-01,,
United Arab Emirates,1977-01-01,,
United Arab Emirates,1976-01-01,,
United Arab Emirates,1975-01-01,,
United Arab Emirates,1974-01-01,,
United Arab Emirates,1973-01-01,,
United Arab Emirates,1972-01-01,,
United Arab Emirates,1971-01-01,,
United Arab Emirates,1970-01-01,,
United Arab Emirates,1969-01-01,,
United Arab Emirates,1968-01-01,,
United Arab Emirates,1967-01-01,,
United Arab Emirates,1966-01-01,,
United Arab Emirates,1965-01-01,,
United Arab Emirates,1964-01-01,,
United Arab Emirates,1963-01-01,,
United Arab Emirates,1962-01-01,,
United Arab Emirates,1961-01-01,,
United Arab Emirates,1960-01-01,,
Antigua and Barbuda,2020-01-01,,17956.315715683
Antigua and Barbuda,2019-01-01,60.28342,21548.7250080262
Antigua and Barbuda,2018-01-01,59.85514,21030.3950717884
Antigua and Barbuda,2017-01-01,59.79669,19840.2840357026
Antigua and Barbuda,2016-01-01,58.80632,19419.58079882
Antigua and Barbuda,2015-01-01,59.23927,18594.2616238259
Antigua and Barbuda,2014-01-01,,18104.4073367164
Antigua and Barbuda,2013-01-01,,17642.860867551
Antigua and Barbuda,2012-01-01,,17966.0643624765
Antigua and Barbuda,2011-01-01,,17605.1701396079
Antigua and Barbuda,2010-01-01,,18205.7385326292
Antigua and Barbuda,2009-01-01,,20047.716006336
Antigua and Barbuda,2008-01-01,,23131.577653176
Antigua and Barbuda,2007-01-01,,23510.7076526761
Antigua and Barbuda,2006-01-01,,21848.8881268378
Antigua and Barbuda,2005-01-01,,19683.5410828179
Antigua and Barbuda,2004-01-01,,18743.286854691
Antigua and Barbuda,2003-01-01,,17952.7791441441
Antigua and Barbuda,2002-01-01,,17143.3260283248
Antigua and Barbuda,2001-01-01,,17207.6512135618
Antigua and Barbuda,2000-01-01,,18313.3497055005
Antigua and Barbuda,1999-01-01,,17551.4667690828
Antigua and Barbuda,1998-01-01,,17260.3015741427
Antigua and Barbuda,1997-01-01,,16828.0909380957
Antigua and Barbuda,1996-01-01,,16303.1762779464
Antigua and Barbuda,1995-01-01,,15628.0850109655
Antigua and Barbuda,1994-01-01,,16698.1471572791
Antigua and Barbuda,1993-01-01,,15991.9107140353
Antigua and Barbuda,1992-01-01,,15500.4918378665
Antigua and Barbuda,1991-01-01,,15588.0229589094
Antigua and Barbuda,1990-01-01,,15458.4571892781
Antigua and Barbuda,1989-01-01,,
Antigua and Barbuda,1988-01-01,,
Antigua and Barbuda,1987-01-01,,
Antigua and Barbuda,1986-01-01,,
Antigua and Barbuda,1985-01-01,,
Antigua and Barbuda,1984-01-01,,
Antigua and Barbuda,1983-01-01,,
Antigua and Barbuda,1982-01-01,,
Antigua and Barbuda,1981-01-01,,
Antigua and Barbuda,1980-01-01,,
Antigua and Barbuda,1979-01-01,,
Antigua and Barbuda,1978-01-01,,
Antigua and Barbuda,1977-01-01,,
Antigua and Barbuda,1976-01-01,,
Antigua and Barbuda,1975-01-01,,
Antigua and Barbuda,1974-01-01,,
Antigua and Barbuda,1973-01-01,,
Antigua and Barbuda,1972-01-01,,
Antigua and Barbuda,1971-01-01,,
Antigua and Barbuda,1970-01-01,,
Antigua and Barbuda,1969-01-01,,
Antigua and Barbuda,1968-01-01,,
Antigua and Barbuda,1967-01-01,,
Antigua and Barbuda,1966-01-01,,
Antigua and Barbuda,1965-01-01,,
Antigua and Barbuda,1964-01-01,,
Antigua and Barbuda,1963-01-01,,
Antigua and Barbuda,1962-01-01,,
Antigua and Barbuda,1961-01-01,,
Antigua and Barbuda,1960-01-01,,
Australia,2020-01-01,,48697.8370282475
Australia,2019-01-01,81.21506,49455.5385080697
Australia,2018-01-01,80.70552,49151.6887104846
Australia,2017-01-01,80.76007,48482.6474614392
Australia,2016-01-01,80.22369,48197.431189174
Australia,2015-01-01,80.38389,47636.319641906
Australia,2014-01-01,,47289.9646101072
Australia,2013-01-01,,46814.7415105804
Australia,2012-01-01,,46427.3681999004
Australia,2011-01-01,,45463.6819958564
Australia,2010-01-01,,44991.7837148741
Australia,2009-01-01,,44771.4842140369
Australia,2008-01-01,,44835.3614074555
Australia,2007-01-01,,44128.727085347
Australia,2006-01-01,,42761.4056075413
Australia,2005-01-01,,42217.136349705
Australia,2004-01-01,,41449.8419535385
Australia,2003-01-01,,40298.8860528145
Australia,2002-01-01,,39616.3360972665
Australia,2001-01-01,,38559.9041923683
Australia,2000-01-01,,38343.002147534
Australia,1999-01-01,,37334.4752293048
Australia,1998-01-01,,35940.0171358725
Australia,1997-01-01,,34727.1997827083
Australia,1996-01-01,,33778.0635392223
Australia,1995-01-01,,32946.9006734039
Australia,1994-01-01,,32114.830840244
Australia,1993-01-01,,31213.0798529168
Australia,1992-01-01,,30298.9290163388
Australia,1991-01-01,,30542.9197143586
Australia,1990-01-01,,31058.2596709541
Australia,1989-01-01,,
Australia,1988-01-01,,
Australia,1987-01-01,,
Australia,1986-01-01,,
Australia,1985-01-01,,
Australia,1984-01-01,,
Australia,1983-01-01,,
Australia,1982-01-01,,
Australia,1981-01-01,,
Australia,1980-01-01,,
Australia,1979-01-01,,
Australia,1978-01-01,,
Australia,1977-01-01,,
Australia,1976-01-01,,
Australia,1975-01-01,,
Australia,1974-01-01,,
Australia,1973-01-01,,
Australia,1972-01-01,,
Australia,1971-01-01,,
Australia,1970-01-01,,
Australia,1969-01-01,,
Australia,1968-01-01,,
Australia,1967-01-01,,
Australia,1966-01-01,,
Australia,1965-01-01,,
Australia,1964-01-01,,
Australia,1963-01-01,,
Australia,1962-01-01,,
Australia,1961-01-01,,
Australia,1960-01-01,,
Austria,2020-01-01,,52119.8482451895
Austria,2019-01-01,78.74549,55833.3156857561
Austria,2018-01-01,78.73995,55297.6182880367
Austria,2017-01-01,78.70694,54169.9639937065
Austria,2016-01-01,78.85646,53269.3062047537
Austria,2015-01-01,78.81665,52798.0994607541
Austria,2014-01-01,,52857.0563215416
Austria,2013-01-01,,52921.8171022969
Austria,2012-01-01,,53221.0786648309
Austria,2011-01-01,,53102.950844304
Austria,2010-01-01,,51769.1455641151
Austria,2009-01-01,,50957.6063796813
Austria,2008-01-01,,53089.8763414956
Austria,2007-01-01,,52489.7572106205
Austria,2006-01-01,,50767.8484448075
Austria,2005-01-01,,49316.2647023136
Austria,2004-01-01,,48563.5886574222
