Municipality,Year,Ethnic_Vote_Share,Casualty,Log_Casualty,HHI_SB,HHI_CB,HHI_SC,HHI.1991,Pop_Density,Income_PC,Avg_Age,Avg_Age_Sqr,Refugees,Prison_Camps,Claims,CivilianCasualty,Partition,HHI.2013,TimedHHI,Net_Displacement,Gross_Displacement
Laktasi,2014,95.06476472,0.797801019,-0.225896062,0.797182303,0.076058724,0.740918149,0.668460207,76.88659794,17174.94637,33.27215741,1107.036459,0.512872084,0.067042102,2.306248324,0.003352105,0,0.916381087,NA,2.651187386,2.756946448
Srbac,2006,97.76318718,0.595238095,-0.518793794,0.848395602,0.038291955,0.881135897,0.791521451,48.21192053,18125.09158,33.64842033,1132.216191,0.718864469,0,0.943223443,0.009157509,0,0.895044887,NA,0.930174873,1.070734631
Srbac,2010,95.71783598,0.595238095,-0.518793794,0.848395602,0.038291955,0.881135897,0.791521451,48.21192053,18125.09158,33.64842033,1132.216191,0.718864469,0,0.943223443,0.009157509,0,0.895044887,NA,0.960102411,1.105184553
Srbac,2014,97.53863766,0.595238095,-0.518793794,0.848395602,0.038291955,0.881135897,0.791521451,48.21192053,18125.09158,33.64842033,1132.216191,0.718864469,0,0.943223443,0.009157509,0,0.895044887,NA,0.977326036,1.12501086
Prnjavor,2006,97.28250731,1.132717033,0.124619201,0.613649301,0.129429081,0.67910207,0.536732616,74.69047619,12630.41122,33.01994475,1090.316751,3.481032834,0.021251727,3.791308044,0.040378281,0,0.736729224,0.7723238,0.483633989,3.373194025
Prnjavor,2010,96.31115636,1.132717033,0.124619201,0.613649301,0.129429081,0.67910207,0.536732616,74.69047619,12630.41122,33.01994475,1090.316751,3.481032834,0.021251727,3.791308044,0.040378281,0,0.736729224,0.751984042,0.492262956,3.433378336
Prnjavor,2014,95.23083491,1.132717033,0.124619201,0.613649301,0.129429081,0.67910207,0.536732616,74.69047619,12630.41122,33.01994475,1090.316751,3.481032834,0.021251727,3.791308044,0.040378281,0,0.736729224,0.731644285,0.500179389,3.488592955
Derventa,2006,92.28676086,1.65341925,0.502845416,0.339831659,0.324387461,0.397525689,0.335574266,109.2630561,18655.87991,32.86762024,1080.280461,5.955141709,0.070810246,5.898493512,0.285011241,0,0.678890629,NA,2.965961274,5.394593571
Derventa,2010,95.55187942,1.65341925,0.502845416,0.339831659,0.324387461,0.397525689,0.335574266,109.2630561,18655.87991,32.86762024,1080.280461,5.955141709,0.070810246,5.898493512,0.285011241,0,0.678890629,NA,3.004147786,5.464048526
Derventa,2014,94.76813317,1.65341925,0.502845416,0.339831659,0.324387461,0.397525689,0.335574266,109.2630561,18655.87991,32.86762024,1080.280461,5.955141709,0.070810246,5.898493512,0.285011241,0,0.678890629,NA,3.043626117,5.53585309
Bosanski Brod,2006,91.8265221,1.801511512,0.588626041,0.277126913,0.344294979,0.375668618,0.306038351,145.8888889,51887.98406,32.24219345,1039.559038,6.321401371,0.234342961,5.15554514,0.424746617,0,0.524463464,NA,2.245798423,5.636805315
Bosanski Brod,2010,82.3255814,1.801511512,0.588626041,0.277126913,0.344294979,0.375668618,0.306038351,145.8888889,51887.98406,32.24219345,1039.559038,6.321401371,0.234342961,5.15554514,0.424746617,0,0.524463464,NA,2.27809907,5.717877797
Bosanski Brod,2014,93.26498144,1.801511512,0.588626041,0.277126913,0.344294979,0.375668618,0.306038351,145.8888889,51887.98406,32.24219345,1039.559038,6.321401371,0.234342961,5.15554514,0.424746617,0,0.524463464,NA,2.317254079,5.816154279
Brcko,2006,78.85705484,1.894393281,0.638898619,0.366000166,0.372424193,0.232811708,0.306869813,177.7423935,20489.66643,30.61292752,937.1513315,7.433781825,0.388008262,7.975852192,0.57630639,0,0.342069868,0.368366894,1.173976414,4.571352855
Brcko,2010,71.4263318,1.894393281,0.638898619,0.366000166,0.372424193,0.232811708,0.306869813,177.7423935,20489.66643,30.61292752,937.1513315,7.433781825,0.388008262,7.975852192,0.57630639,0,0.342069868,0.353340022,1.170811639,4.559029521
Brcko,2014,81.56740957,1.894393281,0.638898619,0.366000166,0.372424193,0.232811708,0.306869813,177.7423935,20489.66643,30.61292752,937.1513315,7.433781825,0.388008262,7.975852192,0.57630639,0,0.342069868,0.33831315,1.172810907,4.566814481
